iter	Passed	Remaining
635	15091	8637
636	15114	8613
637	15138	8589
638	15163	8566
639	15184	8541
640	15207	8517
641	15232	8493
642	15257	8471
643	15280	8446
644	15301	8421
645	15327	8399
646	15348	8374
647	15371	8349
648	15397	8327
649	15418	8302
650	15442	8278
651	15464	8253
652	15486	8229
653	15508	8204
654	15533	8181
655	15554	8156
656	15576	8131
657	15599	8107
658	15623	8084
659	15646	8060
660	15669	8036
661	15692	8011
662	15714	7987
663	15738	7963
664	15759	7939
665	15782	7914
666	15807	7891
667	15830	7867
668	15854	7844
669	15877	7820
670	15902	7797
671	15925	7773
672	15951	7750
673	15974	7726
674	15996	7702
675	16018	7677
676	16042	7653
677	16066	7630
678	16093	7608
679	16116	7584
680	16140	7560
681	16164	7537
682	16189	7513
683	16211	7489
684	16236	7466
685	16260	7442
686	16284	7419
687	16304	7393
688	16327	7369
689	16351	7346
690	16376	7323
691	16398	7298
692	16422	7275
693	16445	7251
694	16469	7227
695	16492	7203
696	16512	7178
697	16537	7155
698	16563	7132
699	16585	7108
700	16609	7084
701	16632	7060
702	16654	7036
703	16680	7013
704	16706	6990
705	16729	6966
706	16750	6941
707	16776	6918
708	16800	6895
709	16823	6871
710	16845	6847
711	16868	6823
712	16891	6799
713	16914	6775
714	16938	6751
715	16961	6727
716	16984	6703
717	17005	6679
718	17029	6655
719	17052	6631
720	17073	6606
721	17099	6584
722	17126	6561
723	17151	6538
724	17177	6515
725	17199	6491
726	17222	6467
727	17245	6443
728	17267	6418
729	17291	6395
730	17315	6371
731	17335	6347
732	17357	6322
733	17383	6299
734	17408	6276
735	17433	6253
736	17458	6230
737	17482	6206
738	17505	6182
739	17529	6158
740	17549	6133
741	17573	6110
742	17595	6086
743	17618	6062
744	17640	6038
745	17665	6014
746	17688	5990
747	17713	5967
748	17738	5944
749	17761	5920
750	17783	5896
751	17805	5871
752	17827	5847
753	17854	5825
754	17879	5802
755	17902	5778
756	17925	5754
757	17949	5730
758	17970	5705
759	17992	5681
760	18013	5657
761	18039	5634
762	18063	5610
763	18087	5587
764	18111	5563
765	18135	5540
766	18159	5516
767	18182	5492
768	18205	5468
769	18225	5444
770	18248	5420
771	18272	5396
772	18295	5372
773	18318	5348
774	18342	5325
775	18363	5300
776	18383	5276
777	18404	5251
778	18426	5227
779	18450	5204
780	18472	5179
781	18497	5156
782	18519	5132
783	18543	5108
784	18567	5085
785	18592	5062
786	18617	5038
787	18639	5014
788	18662	4990
789	18683	4966
790	18707	4942
791	18729	4918
